week,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2024-05-24,2024-05-24,17.82,18.307989648111178,-0.48798964811117784
2024-05-31,2024-05-31,17.41,17.974390664201323,-0.5643906642013228
2024-06-07,2024-06-07,17.76,17.878016513581947,-0.11801651358194576
2024-06-14,2024-06-14,17.09,17.07060702761065,0.019392972389351115
2024-06-21,2024-06-21,17.32,17.267793239817482,0.0522067601825178
2024-06-28,2024-06-28,17.57,16.892499255252154,0.6775007447478458
2024-07-05,2024-07-05,18.64,17.58609043605187,1.0539095639481317
2024-07-12,2024-07-12,18.48,17.436701949758515,1.0432980502414857
2024-07-19,2024-07-19,17.94,16.894141083567035,1.045858916432966
2024-07-26,2024-07-26,15.85,16.202384562197203,-0.35238456219720327
2024-08-02,2024-08-02,15.96,16.492235509839304,-0.5322355098393032
2024-08-09,2024-08-09,15.34,15.734461002008457,-0.39446100200845713
2024-08-16,2024-08-16,15.87,16.380725184722916,-0.5107251847229168
2024-08-23,2024-08-23,16.06,16.402016056749666,-0.3420160567496673
2024-08-30,2024-08-30,16.0,16.60491192655363,-0.6049119265536298
2024-09-06,2024-09-06,14.76,16.295478985003037,-1.5354789850030368
2024-09-13,2024-09-13,14.68,16.698281496589118,-2.0182814965891183
2024-09-20,2024-09-20,15.88,17.205655169728935,-1.3256551697289343
2024-09-27,2024-09-27,17.51,18.05996533476133,-0.5499653347613283
2024-10-04,2024-09-30,18.14,18.003430353969843,0.1365696460301571
2024-10-11,2024-10-11,17.24,17.681678989109876,-0.441678989109878
2024-10-18,2024-10-18,17.63,18.081797449112532,-0.45179744911253295
2024-10-25,2024-10-25,17.23,18.03693021958231,-0.8069302195823091
2024-11-01,2024-11-01,17.25,18.18021307636947,-0.9302130763694691
2024-11-08,2024-11-08,17.09,17.92384009404035,-0.833840094040351
2024-11-15,2024-11-15,15.62,16.641868641050923,-1.021868641050924
2024-11-22,2024-11-22,15.76,17.33621826353292,-1.5762182635329207
2024-11-29,2024-11-29,15.7,17.081777053308603,-1.3817770533086033
2024-12-06,2024-12-06,15.69,17.22801990711755,-1.5380199071175493
2024-12-13,2024-12-13,15.57,17.380043390387513,-1.8100433903875128
2024-12-20,2024-12-20,15.02,16.85200047834014,-1.8320004783401416
2024-12-27,2024-12-27,15.3,17.00783517524781,-1.7078351752478085
2025-01-03,2025-01-03,15.57,16.855889665810963,-1.2858896658109629
2025-01-10,2025-01-10,16.15,17.522042105279343,-1.3720421052793448
2025-01-17,2025-01-17,16.27,17.860529142731515,-1.5905291427315156
2025-01-24,2025-01-24,16.02,17.812994610696485,-1.7929946106964856
2025-01-31,2025-01-27,16.24,17.621876365589745,-1.381876365589747
2025-02-07,2025-02-07,16.62,18.51753661969983,-1.897536619699828
2025-02-14,2025-02-14,17.16,18.98177713946843,-1.8217771394684306
2025-02-21,2025-02-21,16.19,18.60074201722269,-2.410742017222688
2025-02-28,2025-02-28,15.35,18.137404775964193,-2.787404775964193
2025-03-07,2025-03-07,16.43,18.556497940525123,-2.126497940525123
2025-03-14,2025-03-14,17.48,19.145137284026553,-1.665137284026553
2025-03-21,2025-03-21,17.57,19.355916424100386,-1.7859164241003853
2025-03-28,2025-03-28,18.16,19.290680197688832,-1.1306801976888323
2025-04-04,2025-04-03,17.11,19.178715135118086,-2.0687151351180866
2025-04-11,2025-04-11,17.15,18.550484553491035,-1.4004845534910366
2025-04-18,2025-04-18,17.62,19.19267926837857,-1.5726792683785682
2025-04-25,2025-04-25,17.65,19.3340371305883,-1.684037130588301
2025-05-02,2025-04-30,17.46,19.092814880373375,-1.632814880373374
2025-05-09,2025-05-09,17.65,19.136301142234398,-1.4863011422343995
2025-05-16,2025-05-16,17.42,18.61620958766952,-1.196209587669518
2025-05-23,2025-05-23,18.59,18.937190464893337,-0.3471904648933375
2025-05-30,2025-05-30,17.73,18.39742477668844,-0.6674247766884385
2025-06-06,2025-06-06,18.14,18.805355832859483,-0.6653558328594826
2025-06-13,2025-06-13,19.15,18.728108064802747,0.42189193519725166
2025-06-20,2025-06-20,18.41,18.509441990989735,-0.09944199098973527
2025-06-27,2025-06-27,19.78,18.72123992101705,1.0587600789829494
2025-07-04,2025-07-04,20.05,18.812574776426352,1.2374252235736485
2025-07-11,2025-07-11,18.89,18.509632154080442,0.3803678459195581
2025-07-18,2025-07-18,19.47,18.553667285192187,0.9163327148078118
2025-07-25,2025-07-25,19.85,18.761130737629113,1.0888692623708884
2025-08-01,2025-08-01,19.26,18.4878676405312,0.7721323594688023
2025-08-08,2025-08-08,20.54,18.735376968914284,1.8046230310857148
2025-08-15,2025-08-15,21.29,18.76058434948129,2.5294156505187075
2025-08-22,2025-08-22,20.66,18.691864334627063,1.9681356653729374
2025-08-29,2025-08-29,23.08,19.03624570031551,4.043754299684487
2025-09-05,2025-09-05,25.27,20.114075622192978,5.155924377807022
2025-09-12,2025-09-12,25.65,20.76687174342097,4.8831282565790275
2025-09-19,2025-09-19,25.02,20.55881690927979,4.461183090720208
2025-09-26,2025-09-26,27.4,21.72924914533992,5.670750854660078
2025-10-03,2025-09-30,29.44,22.36438644045258,7.0756135595474206
2025-10-10,2025-10-10,30.87,23.992848263441935,6.877151736558066
2025-10-17,2025-10-17,30.17,25.684734620301658,4.485265379698344
2025-10-24,2025-10-24,30.03,25.571363889037965,4.458636110962036
2025-10-31,2025-10-31,30.5,25.46061068013627,5.03938931986373
2025-11-07,2025-11-07,30.17,25.31411122007944,4.855888779920562
2025-11-14,2025-11-14,30.02,26.315436438098253,3.7045635619017467
2025-11-21,2025-11-21,28.14,25.748980421707582,2.3910195782924184
2025-11-28,2025-11-28,28.58,26.74983287382133,1.8301671261786687
2025-12-05,2025-12-05,31.32,28.33669082157217,2.983309178427831
2025-12-12,2025-12-12,31.7,28.956126989371565,2.743873010628434
2025-12-19,2025-12-19,31.12,29.0732565243933,2.0467434756067
2025-12-26,2025-12-26,33.53,31.20732607888268,2.322673921117321
2026-01-02,2025-12-31,34.47,30.5160708357535,3.9539291642464995
2026-01-09,2026-01-09,37.22,32.14152773770238,5.078472262297616
2026-01-16,2026-01-16,37.47,32.78943751956449,4.680562480435512
2026-01-23,2026-01-23,37.56,34.79960952257272,2.760390477427279
2026-01-30,2026-01-30,40.14,36.74817274204316,3.391827257956841
2026-02-06,2026-02-06,37.19,34.45267549798114,2.7373245020188577
2026-02-13,2026-02-13,37.78,35.048561470405325,2.7314385295946764
2026-02-27,2026-02-27,39.55,36.80677920348752,2.7432207965124746
2026-03-06,2026-03-06,37.1,36.07724347554458,1.0227565244554242
2026-03-13,2026-03-13,35.77,35.735029841732945,0.03497015826705763
2026-03-20,2026-03-20,31.65,32.221657806036895,-0.571657806036896
2026-03-27,2026-03-27,32.47,31.45787712694183,1.0121228730581677
2026-04-03,2026-04-03,32.91,32.47904177650888,0.43095822349111756
2026-04-10,2026-04-10,33.75,33.37121682635838,0.3787831736416223
2026-04-17,2026-04-17,34.73,34.56523737375608,0.16476262624392035
2026-04-24,2026-04-24,34.31,34.16172710463598,0.14827289536402333
2026-05-01,2026-04-30,33.3,33.33683324275145,-0.03683324275145594
2026-05-08,2026-05-08,34.8,34.70364962420358,0.09635037579641903
2026-05-15,2026-05-15,31.84,34.16593382580801,-2.3259338258080113
2026-05-22,2026-05-22,30.96,33.82264287036936,-2.8626428703693563
2026-05-29,2026-05-29,30.44,33.606934285337786,-3.166934285337785
2026-06-05,2026-06-05,29.63,33.310625482237775,-3.680625482237776
2026-06-12,2026-06-12,29.09,31.55457616990833,-2.46457616990833
2026-06-19,2026-06-18,29.69,32.17280701303056,-2.4828070130305555
